date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1197,25913.99,0,0
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",1661,44154.78,0,0
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",1669,34663.93,0,0
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",2334,53126.98,0,0
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",2338,23958.95,0,0
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2810,144285.84,0,0
2019-10-01,Y56,"LONDON COMMISSIONING REGION",846,27332.44,0,0
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1237,30451.17,0,0
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",1803,42926.28,0,0
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",1824,56574.39,0,0
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",2453,31239.42,0,0
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",2557,65431.83,0,0
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3062,169906.05,0,0
2019-11-01,Y56,"LONDON COMMISSIONING REGION",849,25375.28,0,0
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1256,31017.85,0,0
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",1669,40835.53,0,0
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",1699,52836.24,0,0
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",2310,29352.58,0,0
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",2465,65158.57,0,0
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2982,166217.11,0,0
2019-12-01,Y56,"LONDON COMMISSIONING REGION",835,22052.73,0,0
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1295,31959.86,0,0
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",1678,42702.15,0,0
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",1727,55514.9,0,0
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",2345,29504.67,0,0
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",2455,65520.83,0,0
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3087,178687.07,0,0
2020-01-01,Y56,"LONDON COMMISSIONING REGION",814,23998.76,0,0
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1272,29390.54,0,0
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",1715,49532.29,0,0
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",1723,41739.33,0,0
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",2394,30987.25,0,0
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",2540,63589.82,0,0
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3157,161373.76,0,0
2020-02-01,Y56,"LONDON COMMISSIONING REGION",774,20281.71,0,0
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1198,27045.58,0,0
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",1604,48740.66,0,0
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",1613,38220.27,0,0
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",2152,27041.15,0,0
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",2269,56643.62,0,0
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2877,150517.96,0,0
2020-03-01,Y56,"LONDON COMMISSIONING REGION",904,25532.32,0,0
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1342,31955.12,0,0
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",1858,48335.29,0,0
2020-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",1890,60081.35,0,0
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",2519,32234.35,0,0
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",2717,73338.86,0,0
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3422,182034.46,0,0
2020-04-01,Y56,"LONDON COMMISSIONING REGION",875,19492.94,0,0
2020-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1288,25400.31,0,0
2020-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",1737,33381.21,0,0
2020-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",1769,42639.23,0,0
2020-04-01,Y62,"NORTH WEST COMMISSIONING REGION",2303,20040.6,0,0
2020-04-01,Y60,"MIDLANDS COMMISSIONING REGION",2591,56926.42,0,0
2020-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3213,142481.95,0,0
2020-05-01,Y56,"LONDON COMMISSIONING REGION",809,19919.19,0,0
2020-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1286,26153.3,0,0
2020-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",1664,41788.76,0,0
2020-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",1680,32909.67,0,0
2020-05-01,Y62,"NORTH WEST COMMISSIONING REGION",2153,19799.1,0,0
2020-05-01,Y60,"MIDLANDS COMMISSIONING REGION",2436,54102.18,0,0
2020-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3067,136048.63,0,0
2020-06-01,Y56,"LONDON COMMISSIONING REGION",831,20397.91,0,0
2020-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1259,27568.46,0,0
2020-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",1673,46189.85,0,0
2020-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",1727,36951.76,0,0
2020-06-01,Y62,"NORTH WEST COMMISSIONING REGION",2263,22212.9,0,0
2020-06-01,Y60,"MIDLANDS COMMISSIONING REGION",2526,65440.62,0,0
2020-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3302,165379.84,0,0
2020-07-01,Y56,"LONDON COMMISSIONING REGION",840,18659.27,0,0
2020-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1306,24378.01,0,0
2020-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",1785,44859.19,0,0
2020-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",1800,33235.89,0,0
2020-07-01,Y62,"NORTH WEST COMMISSIONING REGION",2336,17471.55,0,0
2020-07-01,Y60,"MIDLANDS COMMISSIONING REGION",2592,55778.5,0,0
2020-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3427,149368.98,0,0
2020-08-01,Y56,"LONDON COMMISSIONING REGION",789,17069.66,0,0
2020-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1189,22373.91,0,0
2020-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",1613,38501.79,0,0
2020-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",1672,30616.09,0,0
2020-08-01,Y62,"NORTH WEST COMMISSIONING REGION",2129,16761.04,0,0
2020-08-01,Y60,"MIDLANDS COMMISSIONING REGION",2360,52951.03,0,0
2020-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3071,135705.21,0,0
2020-09-01,Y56,"LONDON COMMISSIONING REGION",825,17933.3,0,0
2020-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1262,24442.8,0,0
2020-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",1729,32197.15,0,0
2020-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",1743,42222.35,0,0
2020-09-01,Y62,"NORTH WEST COMMISSIONING REGION",2274,17035.57,0,0
2020-09-01,Y60,"MIDLANDS COMMISSIONING REGION",2564,56803.61,0,0
2020-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3307,146007.32,0,0
2020-10-01,Y56,"LONDON COMMISSIONING REGION",868,16405.15,0,0
2020-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1266,20461.91,0,0
2020-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",1771,34808.31,0,0
2020-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",1777,28280.91,0,0
2020-10-01,Y62,"NORTH WEST COMMISSIONING REGION",2300,14918.03,0,0
2020-10-01,Y60,"MIDLANDS COMMISSIONING REGION",2618,48709.3,0,0
2020-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3340,116936.75,0,0
2020-11-01,Y56,"LONDON COMMISSIONING REGION",807,14117.13,0,0
2020-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1251,20194.87,0,0
2020-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",1708,34661.71,0,0
2020-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",1779,28779.78,0,0
2020-11-01,Y62,"NORTH WEST COMMISSIONING REGION",2206,13947,0,0
2020-11-01,Y60,"MIDLANDS COMMISSIONING REGION",2463,46422.07,0,0
2020-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3205,114395.29,0,0
2020-12-01,Y56,"LONDON COMMISSIONING REGION",906,16833.81,0,0
2020-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1328,22100.55,0,0
2020-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",1746,35833.36,0,0
2020-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",1819,30598.26,0,0
2020-12-01,Y62,"NORTH WEST COMMISSIONING REGION",2336,15707.51,0,0
2020-12-01,Y60,"MIDLANDS COMMISSIONING REGION",2710,53264.18,0,0
2020-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3541,127462.47,0,0
2021-01-01,Y56,"LONDON COMMISSIONING REGION",802,12909.59,0,0
2021-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1224,17868.85,0,0
2021-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",1700,31848.97,0,0
2021-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",1720,25475.47,0,0
2021-01-01,Y62,"NORTH WEST COMMISSIONING REGION",2141,12663.27,0,0
2021-01-01,Y60,"MIDLANDS COMMISSIONING REGION",2566,45561.3,0,0
2021-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3192,102911.23,0,0
2021-02-01,Y56,"LONDON COMMISSIONING REGION",751,12077.78,0,0
2021-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1175,18213.39,0,0
2021-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",1589,30255.09,0,0
2021-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",1650,25965.77,0,0
2021-02-01,Y62,"NORTH WEST COMMISSIONING REGION",2011,12543.3,0,0
2021-02-01,Y60,"MIDLANDS COMMISSIONING REGION",2370,43635.24,0,0
2021-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3029,98930.86,0,0
2021-03-01,Y56,"LONDON COMMISSIONING REGION",884,14807.14,0,0
2021-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1297,19908.83,0,0
2021-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",1736,33702.48,0,0
2021-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",1820,26835.69,0,0
2021-03-01,Y62,"NORTH WEST COMMISSIONING REGION",2281,14084.89,0,0
2021-03-01,Y60,"MIDLANDS COMMISSIONING REGION",2645,47331.62,0,0
